id,component,standard,edition,clause,table,profile,derivation,verification,status
INFRA-001,Annex-B start-code validation,GB/T 20090.2,2013,7.1.1,,0x20,"Direct syntax constraint","Malformed-prefix API test",implemented
INFRA-002,Unsigned and signed exponential-Golomb readers,GB/T 20090.2,2013,8.2,"Tables 42; 43",0x20,"Formula implementation and independent table transcription","Independent CodeNum vectors",implemented
INFRA-003,Pseudo-start-code removal,GB/T 20090.2,2013,"Normative Annex A",,0x20,"Drop two least-significant prevention bits and repack","00 00 02 c0 vector",implemented
INFRA-004,Pseudo-start-code removal,GB/T 20090.16,2016,"Normative Annex A",,0x48,"Same normative process as Part 2","Shared 00 00 02 c0 vector",implemented
SYNTAX-001,Start-code classification,GB/T 20090.2,2013,7.1,"Table 12",0x20,"Independent range and value mapping","Boundary and enumerated start-code tests",implemented
SYNTAX-002,Common sequence header,GB/T 20090.2,2013,7.2.2,"Table 15; Tables 30-33; normative Annex B",0x20,"Direct field parsing and scoped constraint validation","Independent 112-bit baseline vector",implemented
SYNTAX-003,Broadcast sequence header,GB/T 20090.16,2016,7.2.2,"Table 14; normative Annex B",0x48,"Direct field parsing and scoped constraint validation","Independent 112-bit broadcast vector",implemented
SYNTAX-004,User data unit retention,GB/T 20090.2,2013,7.1;7.2.3,Table 12,0x20;0x48,"Copy bytes following the unit start code without interpretation","API lifetime and backpressure vectors",implemented
SYNTAX-005,Unknown extension retention,GB/T 20090.2,2013,7.1;7.2.4,Table 12,0x20;0x48,"Copy bytes following the unit start code without interpretation","API binary payload vector",implemented
SYNTAX-006,Baseline I-picture header,GB/T 20090.2,2013,7.3.1,"Table 21; Table 39",0x20,"Direct conditional field parsing with semantic range checks","Independent progressive and interlaced header vectors",implemented
SYNTAX-007,Broadcast I-picture header,GB/T 20090.16,2016,7.3.1,"Table 21",0x48,"Direct conditional field parsing including weighted quantization and advanced entropy flags","Independent weighted-quantization header vectors",implemented
SYNTAX-008,Baseline PB-picture header,GB/T 20090.2,2013,7.3.2,"Table 22",0x20,"Direct conditional field parsing with forbidden coding-type rejection","Independent P-frame and B-field header vectors",implemented
SYNTAX-009,Broadcast PB-picture header,GB/T 20090.16,2016,7.3.2,"Table 22; Table 39",0x48,"Direct conditional parsing including field enhancement weighted quantization and advanced entropy","Independent broadcast PB header vectors",implemented
SYNTAX-010,Baseline slice header,GB/T 20090.2,2013,7.1.3.6;7.4,"Table 26",0x20,"Direct parsing of the target-profile slice subset after Annex A bit removal","Independent QP and vertical-extension vectors",implemented
SYNTAX-011,Broadcast slice header,GB/T 20090.16,2016,7.1.3.5;7.4,"Table 25",0x48,"Direct parsing of QP weighting parameters and advanced-entropy alignment","Independent weighted slice vector and CCTV-9 header scan",implemented
SYNTAX-012,Baseline YUV420 basic-entropy macroblock header,GB/T 20090.2,2013,7.1.3.7;7.5;8.2;9.2;9.7;9.8,"Tables 27; 45; 59; 61; 62",0x20,"Direct conditional parsing and independent transcription of normative type and coded-block-pattern mappings","Independent implicit-I P/B type-table full-CBP embedded-CBP interlace truncation and range vectors",implemented
SYNTAX-013,Baseline YUV420 complete basic-entropy macroblock dispatch,GB/T 20090.2,2013,7.1.3.7-7.1.3.8;7.5-7.6;9.4.7,"Tables 27-28",0x20,"Sequential composition of the independently parsed macroblock header and CBP-selected luma/chroma coefficient blocks","Two unaligned consecutive full-CBP I macroblocks single-block inter macroblock skipped macroblock truncation atomic output and fuzz vectors",implemented
ENTROPY-001,Baseline 8x8 basic-entropy coefficient blocks,GB/T 20090.2,2013,7.1.3.8;7.6;8.3.1;9.5.1;9.5.3,"Table 28; Annex D Tables D.1-D.20",0x20,"Independent transcription of normative VLC entries with algorithmic sign escape table-switch and inverse-run reconstruction","Per-table entry vectors dynamic switching EOB escape overflow truncation and 64-position boundary tests",implemented
RECON-001,Baseline 8x8 inverse scan,GB/T 20090.2,2013,9.5.3,"Figures 33; 34",0x20,"Normative scan figures transcribed to inverse lookup tables; former implementation used only for value cross-check","Full permutation vectors for progressive-frame and field scans plus in-place mapping",implemented
RECON-002,Chroma QP mapping,GB/T 20090.2,2013,9.7.1,"Table 70",0x20,"Normative mapping table transcription; former implementation used only for value cross-check","All 64 indices signed-delta boundaries and invalid sums",implemented
RECON-003,Baseline 8x8 inverse quantization,GB/T 20090.2,2013,9.7.2,"Table 71",0x20,"Direct formula implementation and normative dequantization table transcription; former implementation used only for table-value cross-check","All 64 QP entries positive-negative rounding prediction range overflow and atomic-output vectors",implemented
RECON-004,Baseline 8x8 inverse transform,GB/T 20090.2,2013,9.8.2,"T8 matrix",0x20,"Direct separable matrix implementation with portable signed division and normative clipping","Zero DC positive-negative general matrix clipping range atomic-output and scan-to-residual pipeline vectors",implemented
PRED-001,Baseline 8x8 intra prediction,GB/T 20090.2,2013,9.9.1-9.9.4,"Tables 65; 66; Figure 20",0x20,"Direct implementation of normative luma and chroma formulas over explicit reference-sample availability","All luma and chroma modes missing-reference DC fallback extension constant-plane signed-gradient and clipping vectors",implemented
RECON-005,8-bit sample reconstruction,GB/T 20090.2,2013,9.11,,0x20,"Direct single-reference and bidirectional prediction plus residual formulas","Positive-negative clipping single-reference rounded bidirectional and intra-prediction residual pipeline vectors",implemented
PRED-002,Baseline 8x8 intra reference acquisition,GB/T 20090.2,2013,9.9.2,"Figure 20",0x20,"Direct coordinate and availability implementation with normative samples 9-16 extension and top-left fallback","Interior picture edges slice-style masks extension fallback invalid geometry atomic output and acquisition-to-prediction pipeline vectors",implemented
